"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","","","E92000001","England","England","Persons","4-5 yrs","","","2022/23 - 24/25","22.27767","22.21471","22.34076","22.17846","22.3772","<div class=""no-data"">-</div>","1674376","","Cannot be calculated","","","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E92000001","England","E10000015","Hertfordshire","Upper tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","19.3323","18.94368","19.73119","18.72116","19.96277","<div class=""no-data"">-</div>","38640","","Cannot be calculated","Better","","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000095","Broxbourne","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","21.8101","20.4423","23.2292","19.6872","24.0793","<div class=""no-data"">-</div>","3370","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000098","Hertsmere","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","21.2025","19.8436","22.6946","19.0744","23.5673","<div class=""no-data"">-</div>","3160","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000241","Welwyn Hatfield","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","20.8955","19.6028","22.2262","18.892","23.0268","<div class=""no-data"">-</div>","3685","","Cannot be calculated","Better","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000243","Stevenage","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","20.8861","19.5787","22.4171","18.8135","23.2868","<div class=""no-data"">-</div>","3160","","Cannot be calculated","Similar","Worse","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000096","Dacorum","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","20.2844","19.2469","21.4183","18.6533","22.0761","<div class=""no-data"">-</div>","5275","","Cannot be calculated","Better","Similar","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000242","East Hertfordshire","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","18.4127","17.2957","19.5042","16.6974","20.1787","<div class=""no-data"">-</div>","4725","","Cannot be calculated","Better","Similar","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000099","North Hertfordshire","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","18.3411","17.233","19.5527","16.6067","20.2632","<div class=""no-data"">-</div>","4280","","Cannot be calculated","Better","Similar","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000102","Three Rivers","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","17.9584","16.4756","19.3967","15.703","20.3072","<div class=""no-data"">-</div>","2645","","Cannot be calculated","Better","Similar","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000103","Watford","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","17.8918","16.7383","19.2445","16.0667","20.0172","<div class=""no-data"">-</div>","3605","","Cannot be calculated","Better","Better","20220000","","","3y"
"93106","Reception prevalence of overweight (including obesity), 3 years data combined","E10000015","Hertfordshire","E07000240","St Albans","Lower tier local authorities (post 4/23)","Persons","4-5 yrs","","","2022/23 - 24/25","16.6667","15.5884","17.7076","15.0176","18.3585","<div class=""no-data"">-</div>","4740","","Cannot be calculated","Better","Better","20220000","","","3y"
